rowid,kepid,kepoi_name,kepler_name,koi_period,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
2038,8890150,K02650.01,Kepler-395 c,34.9897847,0.020074,4.19621,1.14,0.1691,292.0,1.71,64.76,2,3765.0,4.725,0.02,0.521,0.526
4688,6497146,K03284.01,Kepler-438 b,35.2330694,0.016941,6.12686,0.97,0.1729,288.0,1.62,73.8,1,3749.0,4.743,0.16,0.524,0.554
7542,9480398,K07179.01,,407.14656,0.008994,0.08531,1.18,1.0765,272.0,1.29,90.8,1,5845.0,4.282,0.02,1.198,1.001
2617,3642335,K03010.01,Kepler-1410 b,60.8660974,0.024307,6.48899,1.39,0.2465,244.0,0.84,108.315,1,3808.0,4.734,-0.02,0.522,0.539
4649,4138008,K04742.01,Kepler-442 b,112.303136,0.020068,4.53694,1.3,0.3874,241.0,0.79,144.6,1,4401.0,4.677,-0.38,0.595,0.613
3217,8845205,K00463.01,Kepler-560 b,18.47762694,0.050013,9.8259,1.55,0.0887,267.0,1.21,56.2,1,3395.0,4.97,-0.12,0.283,0.271
4110,5977470,K04550.01,,140.251943,0.021342,3.7841,1.84,0.4836,271.0,1.28,157.9,1,4821.0,4.529,0.16,0.788,0.765
3413,9002278,K00701.03,Kepler-62 e,122.3858681,0.023749,3.01939,1.72,0.4324,269.0,1.24,133.71,5,4926.0,4.6530000000000005,-0.36,0.662,0.727
3694,11415243,K04036.01,Kepler-1544 b,168.81133,0.021852,5.27578,1.69,0.5459,241.0,0.8,199.6,1,4798.0,4.62,0.0,0.707,0.771
8668,6209225,K06676.01,,439.21978,0.017205,4.15804,1.81,1.1379,266.0,1.18,348.7,1,6553.0,4.479,-0.64,0.962,1.017
3070,12302530,K00438.02,Kepler-155 c,52.6615266,0.031827,6.534730000000001,1.87,0.2262,271.0,1.28,98.6,2,3984.0,4.72,-0.22,0.539,0.557
87,4139816,K00812.03,Kepler-235 e,46.1842039,0.033974000000000004,3.99779,1.83,0.2005,273.0,1.32,76.67,4,3950.0,4.754,-0.46,0.493,0.502
3844,8463346,K02529.02,Kepler-436 b,64.0019669,0.032595,2.22778,2.48,0.2826,322.0,2.55,78.4,2,4652.0,4.617,0.02,0.697,0.734
8295,4862924,K07554.01,,482.62011,0.016595,1.9193799999999999,1.98,1.2328,263.0,1.12,287.0,1,6315.0,4.388999999999999,-0.16,1.095,1.066
6196,6067545,K05236.01,,550.86514,0.016926,1.5852,2.06,1.3399,238.0,0.76,294.1,1,5912.0,4.367,0.1,1.115,1.056
4687,12066569,K03282.01,Kepler-1455 b,49.2768448,0.030272000000000004,8.36473,1.75,0.2126,271.0,1.28,102.4,1,3899.0,4.713,-0.2,0.529,0.528
1276,8692861,K00172.02,Kepler-69 c,242.467406,0.016782,0.9792299999999999,1.73,0.7106,286.0,1.59,144.9,2,5637.0,4.399,-0.3,0.943,0.813
